adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001336917-25-000198	1336917	UNDER ARMOUR, INC.	2300	US	MD	BALTIMORE	21230	101 PERFORMANCE DRIVE		410-454-6758	US	MD	BALTIMORE	21230	101 PERFORMANCE DRIVE		US	MD	521990078			1-LAF	0	0331	10-Q	20250930	2026	Q2	20251106	2025-11-06 16:29:00.0	0	1	ua-20250930_htm.xml	1	
0001336920-25-000060	1336920	LEIDOS HOLDINGS, INC.	7373	US	VA	RESTON	20190	1750 PRESIDENTS STREET		571-526-6000	US	VA	RESTON	20190	1750 PRESIDENTS STREET				203562868	SAIC, INC.	20050823	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 11:12:00.0	0	1	ldos-20251003_htm.xml	1	
0001341766-25-000144	1341766	CELSIUS HOLDINGS, INC.	2086	US	FL	BOCA RATON	33431	2424 N. FEDERAL HWY	SUITE 208	561-276-2239	US	FL	BOCA RATON	33431	2424 N. FEDERAL HWY	SUITE 208	US	NV	202745790	VECTOR VENTURES CORP.	20051018	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 09:22:00.0	0	1	celh-20250930_htm.xml	1	
0001342423-25-000039	1342423	LIMONEIRA CO	0100	US	CA	SANTA PAULA	93060	1141 CUMMINGS ROAD		(805) 525-5541	US	CA	SANTA PAULA	93060	1141 CUMMINGS ROAD		US	DE	770260692			2-ACC	0	1031	10-K	20251031	2025	FY	20251223	2025-12-23 16:05:00.0	0	1	lmnr-20251031_htm.xml	1	
0001345016-25-000071	1345016	YELP INC	7200	US	CA	SAN FRANCISCO	94105	350 MISSION STREET	10TH FLOOR	(415) 908-3801	US	CA	SAN FRANCISCO	94105	350 MISSION STREET	10TH FLOOR	US	DE	201854266	YELP! INC	20051121	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 16:18:00.0	0	1	yelp-20250930_htm.xml	1	
0001345126-25-000078	1345126	COMPASS DIVERSIFIED HOLDINGS	2510	US	CT	WESTPORT	06880	301 RIVERSIDE AVENUE		203-221-1703	US	CT	WESTPORT	06880	301 RIVERSIDE AVENUE		US	DE	576218917	COMPASS DIVERSIFIED TRUST	20051122	1-LAF	1	1231	10-K/A	20241231	2024	FY	20251208	2025-12-08 06:45:00.0	0	1	codi-20241231_htm.xml	2	1345122
0001345126-25-000085	1345126	COMPASS DIVERSIFIED HOLDINGS	2510	US	CT	WESTPORT	06880	301 RIVERSIDE AVENUE		203-221-1703	US	CT	WESTPORT	06880	301 RIVERSIDE AVENUE		US	DE	576218917	COMPASS DIVERSIFIED TRUST	20051122	1-LAF	0	1231	10-Q	20250331	2025	Q1	20251218	2025-12-18 16:12:00.0	0	1	codi-20250331_htm.xml	2	1345122
0001345126-25-000092	1345126	COMPASS DIVERSIFIED HOLDINGS	2510	US	CT	WESTPORT	06880	301 RIVERSIDE AVENUE		203-221-1703	US	CT	WESTPORT	06880	301 RIVERSIDE AVENUE		US	DE	576218917	COMPASS DIVERSIFIED TRUST	20051122	1-LAF	0	1231	10-Q	20250630	2025	Q2	20251229	2025-12-29 07:56:00.0	0	1	codi-20250630_htm.xml	2	1345122
0001350593-25-000066	1350593	MUELLER WATER PRODUCTS, INC.	3490	US	GA	ATLANTA	30328	1200 ABERNATHY RD, NE	SUITE 1200	770-206-4200	US	GA	ATLANTA	30328	1200 ABERNATHY RD, NE	SUITE 1200	US	DE	203547095	MUELLER HOLDING COMPANY, INC.	20060123	1-LAF	1	0930	10-K	20250930	2025	FY	20251119	2025-11-19 12:39:00.0	0	1	mwa-20250930_htm.xml	1	
0001352010-25-000056	1352010	EPAM SYSTEMS, INC.	7371	US	PA	NEWTOWN	18940	41 UNIVERSITY DRIVE	SUITE 202	(267) 759-9000	US	PA	NEWTOWN	18940	41 UNIVERSITY DRIVE	SUITE 202	US	DE	223536104	EPAM SYSTEMS INC	20060202	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 16:12:00.0	0	1	epam-20250930_htm.xml	1	
0001356090-25-000034	1356090	PRECIGEN, INC.	2834	US	MD	GERMANTOWN	20876	20374 SENECA MEADOWS PARKWAY		301-556-9900	US	MD	GERMANTOWN	20876	20374 SENECA MEADOWS PARKWAY		US	VA	000000000	INTREXON CORP	20060313	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	2025-11-13 16:20:00.0	0	1	pgen-20250930_htm.xml	1	
0001356576-25-000071	1356576	SUPERNUS PHARMACEUTICALS, INC.	2834	US	MD	ROCKVILLE	20850	9715 KEY WEST AVENUE		301-838-2500	US	MD	ROCKVILLE	20850	9715 KEY WEST AVENUE		US	DE	000000000	SUPERNUS PHARMACEUTICALS INC	20060317	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 17:02:00.0	0	1	supn-20250930_htm.xml	1	
0001357615-25-000066	1357615	KBR, INC.	1600	US	TX	HOUSTON	77002	601 JEFFERSON STREET	SUITE 3400	(713) 753-2000	US	TX	HOUSTON	77002	601 JEFFERSON STREET	SUITE 3400	US	DE	204536774			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 12:43:00.0	0	1	kbr-20251003_htm.xml	1	
0001359841-25-000042	1359841	HANESBRANDS INC.	5600	US	NC	WINSTON-SALEM	27101	101 NORTH CHERRY STREET		(336) 519-8080	US	NC	WINSTON-SALEM	27101	101 NORTH CHERRY STREET		US	MD	203552316			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 12:36:00.0	0	1	hbi-20250927_htm.xml	1	
0001360604-25-000112	1360604	HEALTHCARE REALTY TRUST INC	6798	US	TN	NASHVILLE	37203	3310 WEST END AVENUE,  SUITE 700		615-269-8175	US	TN	NASHVILLE	37203	3310 WEST END AVENUE,  SUITE 700				000000000	HEALTHCARE TRUST OF AMERICA, INC.	20160802	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 16:16:00.0	0	1	hr-20250930_htm.xml	1	
0001360901-25-000025	1360901	EVERCORE INC.	6282	US	NY	NEW YORK	10055	55 EAST 52ND STREET	38TH FLOOR	212-857-3100	US	NY	NEW YORK	10055	55 EAST 52ND STREET	38TH FLOOR	US	DE	204748747	EVERCORE PARTNERS INC.	20060427	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 16:07:00.0	0	1	evr-20250930_htm.xml	1	
0001361658-25-000315	1361658	TRAVEL & LEISURE CO.	7011	US	FL	ORLANDO	32805	501 WEST CHURCH STREET		407-626-5200	US	FL	ORLANDO	32805	501 WEST CHURCH STREET		US	DE	200052541	WYNDHAM DESTINATIONS, INC.	20180531	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251022	2025-10-22 09:17:00.0	0	1	wyn-20250930_htm.xml	1	
0001362468-25-000054	1362468	ALLEGIANT TRAVEL CO	4512	US	NV	LAS VEGAS	89144	1201 N. TOWN CENTER DRIVE		702-851-7300	US	NV	LAS VEGAS	89144	1201 N. TOWN CENTER DRIVE		US	NV	204745737			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 16:03:00.0	0	1	algt-20250930_htm.xml	1	
0001364250-25-000044	1364250	DOUGLAS EMMETT INC	6798	US	CA	SANTA MONICA	90401	1299 OCEAN AVENUE, SUITE 1000		310-255-7700	US	CA	SANTA MONICA	90401	1299 OCEAN AVENUE, SUITE 1000		US	MD	203073047			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 16:11:00.0	0	1	nysedei-20250930_htm.xml	1	
0001364479-25-000056	1364479	HERC HOLDINGS INC	7350	US	FL	BONITA SPRINGS	34134	27500 RIVERVIEW CENTER BLVD		(239) 301-1000	US	FL	BONITA SPRINGS	34134	27500 RIVERVIEW CENTER BLVD		US	DE	203530539	HERTZ GLOBAL HOLDINGS INC	20060531	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251028	2025-10-28 06:33:00.0	0	1	hri-20250930_htm.xml	1	
0001364885-25-000011	1364885	SPIRIT AEROSYSTEMS HOLDINGS, INC.	3728	US	KS	WICHITA	67210	3801 SOUTH OLIVER		316.526.9000	US	KS	WICHITA	67210	3801 SOUTH OLIVER		US	DE	202436320			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 16:26:00.0	0	1	spr-20251002_htm.xml	1	
0001364954-25-000117	1364954	CHEGG, INC	8200	US	CA	SANTA CLARA	95054	3990 FREEDOM CIRCLE		408-855-5700	US	CA	SANTA CLARA	95054	3990 FREEDOM CIRCLE		US	DE	203237489	CHEGG INC	20060605	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 16:16:00.0	0	1	chgg-20250930_htm.xml	1	
0001366868-25-000113	1366868	GLOBALSTAR, INC.	4899	US	LA	COVINGTON,	70433	1351 HOLIDAY SQUARE BLVD.,		408-933-4000	US	LA	COVINGTON,	70433	1351 HOLIDAY SQUARE BLVD.,		US	DE	412116508			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 17:27:00.0	0	1	gsat-20250930_htm.xml	1	
0001367644-25-000202	1367644	EMERGENT BIOSOLUTIONS INC.	2834	US	MD	GAITHERSBURG	20879	300 PROFESSIONAL DR		240-631-3200	US	MD	GAITHERSBURG	20879	300 PROFESSIONAL DR		US	DE	141902018			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-29 17:39:00.0	0	1	ebs-20250930_htm.xml	1	
0001367859-25-000088	1367859	CITIZENS COMMUNITY BANCORP INC.	6035	US	WI	EAU CLAIRE	54701	2174 EASTRIDGE CENTER		715 836 9994	US	WI	EAU CLAIRE	54701	2174 EASTRIDGE CENTER		US	MD	205120010			4-NON	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:32:00.0	0	1	czwi-20250930_htm.xml	1	
0001370053-25-000089	1370053	ANAPTYSBIO, INC	2834	US	CA	SAN DIEGO	92121	10770 WATERIDGE CIRCLE, SUITE 210		858-362-6295	US	CA	SAN DIEGO	92121	10770 WATERIDGE CIRCLE, SUITE 210		US	DE	203828755	ANAPTYSBIO INC	20080828	4-NON	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:19:00.0	0	1	anab-20250930_htm.xml	1	
0001370416-25-000032	1370416	WESTPORT FUEL SYSTEMS INC.	3510	CA	BC	VANCOUVER	V6P6G2	1691 WEST 75TH AVENUE		6047182000	CA	BC	VANCOUVER	V6P6G2	1691 WEST 75TH AVENUE				000000000	WESTPORT INNOVATIONS INC	20060726		0	1231	6-K/A	20250630	2025	Q2	20251001	2025-10-01 17:17:00.0	0	1	wprt-20250630_d2_htm.xml	1	
0001370416-25-000035	1370416	WESTPORT FUEL SYSTEMS INC.	3510	CA	BC	VANCOUVER	V6P6G2	1691 WEST 75TH AVENUE		6047182000	CA	BC	VANCOUVER	V6P6G2	1691 WEST 75TH AVENUE				000000000	WESTPORT INNOVATIONS INC	20060726		0	1231	6-K	20250930	2025	Q3	20251110	2025-11-10 17:29:00.0	0	1	wprt-20250930_d2_htm.xml	1	
0001370637-25-000100	1370637	ETSY INC	7389	US	NY	BROOKLYN	11201	117 ADAMS STREET		(718) 880-3660	US	NY	BROOKLYN	11201	117 ADAMS STREET		US	DE	000000000			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251029	2025-10-29 08:17:00.0	0	1	etsy-20250930_htm.xml	1	
0001370946-25-000241	1370946	OWENS CORNING	3290	US	OH	TOLEDO	43659	ONE OWENS CORNING PARKWAY		419-248-8000	US	OH	TOLEDO	43659	ONE OWENS CORNING PARKWAY		US	DE	000000000	OWENS CORNING (REORGANIZED) INC.	20060731	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 06:08:00.0	0	1	oc-20250930_htm.xml	1	
0001371285-25-000250	1371285	TRUPANION, INC.	6324	US	WA	SEATTLE	98108	6100 4TH AVENUE SOUTH	SUITE 400	888-733-2685	US	WA	SEATTLE	98108	6100 4TH AVENUE SOUTH	SUITE 400	US	DE	000000000	TRUPANION INC.	20131114	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 17:03:00.0	0	1	trup-20250930_htm.xml	1	
0001372299-25-000013	1372299	OCUGEN, INC.	2836	US	PA	MALVERN	19355	11 GREAT VALLEY PARKWAY		484-328-4701	US	PA	MALVERN	19355	11 GREAT VALLEY PARKWAY		US	DE	000000000	HISTOGENICS CORP	20060810	4-NON	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 09:42:00.0	0	1	ocgn-20250930_htm.xml	1	
0001372514-25-000078	1372514	KIORA PHARMACEUTICALS INC	2834	US	CA	ENCINITAS	92024	169 SAXONY RD.	SUITE 212	858-224-9600	US	CA	ENCINITAS	92024	169 SAXONY RD.	SUITE 212			980443284	EYEGATE PHARMACEUTICALS INC	20060811	4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 06:02:00.0	0	1	kprx-20250930_htm.xml	1	
0001373715-25-000309	1373715	SERVICENOW, INC.	7372	US	CA	SANTA CLARA	95054	2225 LAWSON LANE		408-501-8550	US	CA	SANTA CLARA	95054	2225 LAWSON LANE		US	DE	202056195	SERVICE-NOW.COM	20060823	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-29 19:03:00.0	0	1	now-20250930_htm.xml	1	
0001375365-25-000030	1375365	SUPER MICRO COMPUTER, INC.	3571	US	CA	SAN JOSE	95131	980 ROCK AVENUE		408-503-8000	US	CA	SAN JOSE	95131	980 ROCK AVENUE		US	CA	770353939			1-LAF	0	0630	10-Q	20250930	2026	Q1	20251107	2025-11-07 16:30:00.0	0	1	smci-20250930_htm.xml	1	
0001376139-25-000054	1376139	CVR ENERGY INC	2911	US	TX	SUGAR LAND	77479	2277 PLAZA DRIVE	SUITE 500	(281) 207-3200	US	TX	SUGAR LAND	77479	2277 PLAZA DRIVE	SUITE 500	US	DE	000000000			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 16:45:00.0	0	1	cvi-20250930_htm.xml	1	
0001376339-25-000103	1376339	MIMEDX GROUP, INC.	3841	US	GA	MARIETTA	30062	1775 W OAK COMMONS COURT, NE		(770) 651-9100	US	GA	MARIETTA	30062	1775 W OAK COMMONS COURT, NE				262792552	ALYNX, CO.	20060922	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251029	2025-10-29 16:01:00.0	0	1	mdxg-20250930_htm.xml	1	
0001376474-25-000835	96536	TAYLOR DEVICES, INC.	3569	US	NY	NORTH TONAWANDA	14120	90 TAYLOR DR		7166940800	US	NY	N TONAWANDA	14120	90 TAYLOR DR		US	NY	160797789	TAYLOR DEVICES INC	19920703	4-NON	0	0531	10-Q	20250831	2026	Q1	20251001	2025-10-01 07:35:00.0	0	1	tayd-20250831_10q_htm.xml	1	
0001376474-25-000857	724910	NVE CORP /NEW/	3674	US	MN	EDEN PRAIRIE	55344	11409 VALLEY VIEW ROAD		9528299217	US	MN	EDEN PRAIRIE	55344	11409 VALLEY VIEW ROAD		US	MN	411424202	PREMIS CORP	19920703	4-NON	0	0331	10-Q	20250930	2026	Q2	20251022	2025-10-22 16:10:00.0	0	1	nvec-20250930_10q_htm.xml	1	
0001376474-25-000934	1530185	AMERITEK VENTURES, INC.	3714	US	NV	RENO	89502	401 RYLAND STREET, SUITE #200A		312-239-3574	US	NV	RENO	89502	401 RYLAND STREET, SUITE #200A		US	NV	274594495	AMERITEK VENTURES	20170714	4-NON	0	1231	10-Q/A	20250930	2025	Q3	20251114	2025-11-14 13:22:00.0	0	1	atvk-20250930_10q_htm.xml	1	
0001376474-25-000952	1999538	X1 CAPITAL INC.		US	AL	FAIRHOPE	36532	6637 S WINDING BROOK DR		7136147755	US	AL	FAIRHOPE	36532	6637 S WINDING BROOK DR		US	MD	932414793			4-NON	0	0630	10-Q	20250930	2026	Q1	20251120	2025-11-20 14:32:00.0	0	1	xcap-20250930_10q_htm.xml	1	
0001376474-25-000975	1276531	SCIENTIFIC ENERGY, INC	6794	MO		MACAU	00000	ROOM M, 21F, TONG NAM A COMMERCIAL CTR	180 ALAMEDA DR CARLOS DASSUMPCAO	852-2530-2089	MO		MACAU	00000	ROOM M, 21F, TONG NAM A COMMERCIAL CTR	180 ALAMEDA DR CARLOS DASSUMPCAO	US	UT	870680657	SCIENTIFIC ENERGY INC	20040115	4-NON	0	1231	10-Q	20250930	2025	Q3	20251215	2025-12-15 15:18:00.0	0	1	scgy-20250930_10q_htm.xml	1	
0001376474-25-000988	96536	TAYLOR DEVICES, INC.	3569	US	NY	NORTH TONAWANDA	14120	90 TAYLOR DR		7166940800	US	NY	N TONAWANDA	14120	90 TAYLOR DR		US	NY	160797789	TAYLOR DEVICES INC	19920703	4-NON	0	0531	10-Q	20251130	2026	Q2	20251231	2025-12-31 07:46:00.0	0	1	tayd-20251130_10q_htm.xml	1	
0001376986-25-000056	1376986	TENNESSEE VALLEY AUTHORITY	4911	US	TN	KNOXVILLE	37902	400 WEST SUMMIT HILL DRIVE		865-632-2101	US	TN	KNOXVILLE	37902	400 WEST SUMMIT HILL DRIVE				620474417			4-NON	0	0930	10-K	20250930	2025	FY	20251113	2025-11-12 17:39:00.0	0	1	tve-20250930_htm.xml	1	
0001377789-25-000106	1377789	AVIAT NETWORKS, INC.	3663	US	TX	AUSTIN	78728	200 PARKER DRIVE	SUITE C100A	4089417100	US	TX	AUSTIN	78728	200 PARKER DRIVE	SUITE C100A	US	DE	205961564	AVIAT NETWORKS INC	20161109	2-ACC	0	0630	10-Q	20250930	2026	Q1	20251104	2025-11-04 17:07:00.0	0	1	avnw-20250926_htm.xml	1	
0001378325-25-000040	1378325	CAPSOVISION, INC	3845	US	CA	SARATOGA	95070	18805 COX AVENUE SUITE 250		(408) 370-4790	US	CA	SARATOGA	95070	18805 COX AVENUE SUITE 250		US	DE	203369494	CAPSO VISION INC	20061016	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	2025-11-13 16:37:00.0	0	1	cv-20250930_htm.xml	1	
0001378950-25-000133	1378950	CARPARTS.COM, INC.	5531	US	CA	TORRANCE	90504	2050 W. 190TH STREET		(310) 735-0085	US	CA	TORRANCE	90504	2050 W. 190TH STREET		US	DE	680623433	U.S. AUTO PARTS NETWORK, INC.	20061023	4-NON	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 17:05:00.0	0	1	prts-20250927x10q_htm.xml	1	
0001379041-25-000146	1379041	EMPLOYERS HOLDINGS, INC.	6331	US	NV	RENO	89511	5340 KIETZKE LANE	SUITE 202	775-327-2667	US	NV	RENO	89511	5340 KIETZKE LANE	SUITE 202	US	NV	043850065			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 16:18:00.0	0	1	eig-20250930_htm.xml	1	
0001379785-25-000050	1379785	BARINGS BDC, INC.		US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	(704) 805-7200	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	US	NC	061798488	TRIANGLE CAPITAL CORP	20061101	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 16:21:00.0	0	1	bbdc-20250930_htm.xml	1	
0001380106-25-000200	1380106	RAPID MICRO BIOSYSTEMS, INC.	3826	US	MA	LEXINGTON	02421	25 HARTWELL AVENUE		978-349-3200	US	MA	LEXINGTON	02421	25 HARTWELL AVENUE		US	DE	208121647	RAPID MICRO BIOSYSTEMS INC	20061103	4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	2025-11-07 17:07:00.0	0	1	rmb-20250930_htm.xml	1	
0001381197-25-000158	1381197	INTERACTIVE BROKERS GROUP, INC.	6211	US	CT	GREENWICH	06830	ONE PICKWICK PLAZA		203-618-5800	US	CT	GREENWICH	06830	ONE PICKWICK PLAZA		US	DE	300390693			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 16:19:00.0	0	1	ibkr-20250930x10q_htm.xml	1	
0001381668-25-000106	1381668	TFS FINANCIAL CORP	6035	US	OH	CLEVELAND	44105	7007 BROADWAY AVENUE		(216) 441-6000	US	OH	CLEVELAND	44105	7007 BROADWAY AVENUE		US	DE	522054948			1-LAF	1	0930	10-K	20250930	2025	FY	20251125	2025-11-25 17:20:00.0	0	1	tfsl-20250930_htm.xml	1	
0001383650-25-000040	1383650	CHENIERE ENERGY PARTNERS, L.P.	4924	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	(713) 375-5000	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	US	DE	205913059			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-29 17:39:00.0	0	1	cqp-20250930_htm.xml	1	
0001384101-25-000130	1384101	VERACYTE, INC.	8071	US	CA	SOUTH SAN FRANCISCO	94080	6000 SHORELINE COURT, SUITE 300		(650) 243-6300	US	CA	SOUTH SAN FRANCISCO	94080	6000 SHORELINE COURT, SUITE 300		US	DE	205455398	CALDEROME INC	20061219	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 08:16:00.0	0	1	vcyt-20250930_htm.xml	1	
0001384195-25-000018	1384195	RING ENERGY, INC.	1311	US	TX	THE WOODLANDS	77380	1725 HUGHES LANDING BLVD.	SUITE 900	281-397-3699	US	TX	THE WOODLANDS	77380	1725 HUGHES LANDING BLVD.	SUITE 900	US	NV	980495938	TRANSGLOBAL MINING CORP.	20070425	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251106	2025-11-06 17:01:00.0	0	1	rei-20250930_htm.xml	1	
0001384905-25-000053	1384905	RINGCENTRAL, INC.	7374	US	CA	BELMONT	94002	20 DAVIS DRIVE		650-472-4100	US	CA	BELMONT	94002	20 DAVIS DRIVE				943322844	RINGCENTRAL INC	20070103	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-04 19:22:00.0	0	1	rng-20250930_htm.xml	1	
0001385613-25-000113	1385613	GREENLIGHT CAPITAL RE, LTD.	6331			GRAND CAYMAN	KY1-1205	65 MARKET STREET, SUITE 1207,	CAMANA BAY, P.O. BOX 31110	345 943 4573			GRAND CAYMAN	KY1-1205	65 MARKET STREET, SUITE 1207,	CAMANA BAY, P.O. BOX 31110			000000000	GREENLIGHT CAPITAL RE, LTD.	20070109	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 16:25:00.0	0	1	glre-20250930_htm.xml	1	
0001385849-25-000044	1385849	ENERGY FUELS INC	1400	US	CO	LAKEWOOD	80228	225 UNION BLVD., SUITE 600		303-974-2140	US	CO	LAKEWOOD	80228	225 UNION BLVD., SUITE 600		CA	ON	000000000			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 16:50:00.0	0	1	efr-20250930_htm.xml	1	
0001386278-25-000076	1386278	GREEN DOT CORP	6199	US	UT	PROVO	84604	1675 N. FREEDOM BLVD (200 WEST)	BUILDING 1	6267652000	US	OH	CINCINNATI	45241	4675 CORNELL ROAD, SUITE 280		US	DE	000000000			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 17:14:00.0	0	1	gdot-20250930_htm.xml	1	
0001386570-25-000020	1386570	NIAGEN BIOSCIENCE, INC.	2833	US	CA	LOS ANGELES	90024	10900 WILSHIRE BLVD	SUITE 600	310-388-6706	US	CA	LOS ANGELES	90024	10900 WILSHIRE BLVD	SUITE 600	US	DE	262940963	CHROMADEX CORP.	20080624	4-NON	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:01:00.0	0	1	cdcx-20250930_htm.xml	1	
0001387467-25-000066	1387467	ALPHA & OMEGA SEMICONDUCTOR LTD	3674	US	CA	SUNNYVALE	94085	475 OAKMEAD PARKWAY		408-830-9742	US	CA	SUNNYVALE	94085	475 OAKMEAD PARKWAY				000000000	ALPHA & OMEGA SEMICONDUCTOR LTD	20070123	1-LAF	0	0630	10-Q	20250930	2026	Q1	20251106	2025-11-06 16:02:00.0	0	1	aosl-20250930_htm.xml	1	
0001388658-25-000217	1388658	IRHYTHM TECHNOLOGIES, INC.	3841	US	CA	SAN FRANCISCO	94103	699 8TH STREET	SUITE 600	415-632-5700	US	CA	San Francisco	94103	699 8TH STREET	SUITE 600	US	DE	208149544	IRHYTHM TECHNOLOGIES, INC.	20110429	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-30 17:22:00.0	0	1	irtc-20250930_htm.xml	1	
0001389050-25-000038	1389050	ARCHROCK, INC.	4922	US	TX	HOUSTON	77024	9807 KATY FREEWAY	STE 100	281-836-8000	US	TX	HOUSTON	77024	9807 KATY FREEWAY	STE 100			743204509	EXTERRAN HOLDINGS INC.	20070619	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251029	2025-10-29 14:39:00.0	0	1	aroc-20250930x10q_htm.xml	1	
0001390478-25-000020	1390478	SELLAS LIFE SCIENCES GROUP, INC.	2834	US	NY	NEW YORK	10036	7 TIMES SQUARE	SUITE 2503	6462005278	US	NY	NEW YORK	10036	7 TIMES SQUARE	SUITE 2503	US	DE	000000000	GALENA BIOPHARMA, INC.	20110926	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	2025-11-12 16:02:00.0	0	1	sls-20250930_htm.xml	1	
0001390777-25-000159	1390777	BANK OF NEW YORK MELLON CORP	6022	US	NY	NEW YORK	10286	240 GREENWICH STREET		212-495-1784	US	NY	NEW YORK	10286	240 GREENWICH STREET		US	DE	132614959	BANK OF NEW YORK MELLON CORP	20070221	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251031	2025-10-31 07:03:00.0	0	1	bk-20250930_htm.xml	1	
0001392380-25-000032	1392380	GEVO, INC.	2860	US	CO	ENGLEWOOD	80112	345 INVERNESS DRIVE SOUTH, BUILDING C	Suite 310	303-858-8358	US	CO	ENGLEWOOD	80112	345 INVERNESS DRIVE SOUTH, BUILDING C	Suite 310	US	DE	870747704	GEVO INC	20070307	4-NON	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 16:18:00.0	0	1	gevo-20250930x10q_htm.xml	1	
0001392972-25-000164	1392972	PROS HOLDINGS, INC.	7371	US	TX	HOUSTON	77098	3200 KIRBY DR.	SUITE 600	713-335-5151	US	TX	HOUSTON	77098	3200 KIRBY DR.	SUITE 600	US	DE	760168604			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251027	2025-10-27 16:21:00.0	0	1	pro-20250930_htm.xml	1	
0001393052-25-000078	1393052	VEEVA SYSTEMS INC	7372	US	CA	PLEASANTON	94588	4280 HACIENDA DRIVE		925-452-6500	US	CA	PLEASANTON	94588	4280 HACIENDA DRIVE		US	DE	208235463	VERTICALS ONDEMAND INC	20070313	1-LAF	0	0131	10-Q	20251031	2026	Q3	20251121	2025-11-21 16:07:00.0	0	1	veev-20251031_htm.xml	1	
0001393883-25-000120	1393883	DHI GROUP, INC.	7389	US	CO	CENTENNIAL	80111	6465 SOUTH GREENWOOD PLAZA	SUITE 400	515-978-3737	US	CO	CENTENNIAL	80111	6465 SOUTH GREENWOOD PLAZA	SUITE 400	US	DE	203179218	DICE HOLDINGS, INC.	20070321	2-ACC	0	1231	10-Q	20250930	2025	Q3	20251110	2025-11-10 16:22:00.0	0	1	dhx-20250930_htm.xml	1	
